AC_NUM, ACID, TRACK_CNT, ST_TIME, END_TIME, ORIG_ST_TIME, ORIG_END_TIME, MAX_X, MIN_X, MAX_Y, MIN_Y, MAX_Z, MIN_Z, AC_EQUIP, AC_TYPE, DEST_FIX, FLIGHT_TYPE, ORIGIN_FIX, GAP_VALUE, MAX_X_SMO, MIN_X_SMO, MAX_Y_SMO, MIN_Y_SMO, MAX_Z_SMO, MIN_Z_SMO, TOD_TIME, TOC_TIME, TOC_ALT, END_CENTER, START_CENTER, END_CENTER_TIME, START_CENTER_TIME, LOW_Z, HIGH_Z, LOW_TIME, HIGH_TIME, BETWEEN_TIME, AVG_CLIMB, LOW_GROUND_SPEED_SMO, HIGH_GROUND_SPEED_SMO
5016,SKF6864_294,416,8480,12630,8473,12630,412.942,36.3,642,351.5,36000,3833, L,CRJ7, ATL, OVR, LGA,0,412.643,37.267,641.656,352.333,36000,4195,-1,10330,36000, n/a, ZNY,11680,9940,3833,17000,8480,8810,330,0.3393939393939394,196,308
5017,SKF6887_650,240,63860,66250,63853,66256,282.25,54.708,570.477,528.715,36000,1925, L,CRJ7, ORD, DEP, BWI,0,281.879,55.821,569.799,528.849,36000,2343,-1,65460,36000, n/a, ZDC,65540,64140,1925,27000,63860,64600,740,0.22702702702702704,169,337
5019,SKF6889_365,258,59260,61830,59259,61836,414.862,260.942,627.977,523.949,22000,850, L,E135, DCA, ARR, JFK,0,414.458,261.22,627.762,524.07,22000,915,-1,60040,22000, n/a, ZDC,0,59260,3046,11000,59260,59460,200,0.335,170,237
5020,SKF6889_842,222,65310,67520,65310,67526,426.669,267.4,624.071,514.459,17000,1500, L,E135, JFK, DEP, DCA,0,426.491,267.425,623.724,514.777,17000,1833,66670,65800,17000, n/a, ZDC,66310,65430,1500,17000,65310,65780,470,0.40425531914893614,178,368
5021,SKF6892_293,416,8810,12960,8809,12964,412.951,173.731,640.03,335.832,26000,800, L,CRJ7, RDU, ARR, LGA,0,412.398,173.961,639.725,336.173,26000,801,-1,9700,26000, n/a, ZNY,11860,9300,3750,12000,8810,9010,200,0.56,199,311
5023,SKF6941_246,427,56280,60540,56273,60542,421.145,123.058,643.7,351.7,27000,1216, L,E135, LGA, OVR, GSO,0,420.803,123.444,643.444,352.156,27000,1304,58870,57100,27000, n/a, ZDC,59420,56290,6008,24000,56280,56940,660,0.22575757575757577,236,385
5024,SKF6941_810,433,47990,52310,47983,52314,410.9,121.2,647.783,360.2,28000,1200, L,E135, GSO, OVR, LGA,0,410.862,121.412,647.367,360.455,28000,1202,51120,49010,28000, n/a, ZNY,51410,49260,4791,17000,47990,48360,370,0.24594594594594596,200,291
5025,SKF6951_478,427,40490,44750,40482,44759,418.262,123.331,640.2,354.2,27000,900, L,E135, LGA, OVR, GSO,0,417.902,123.747,640.111,354.456,27000,902,43230,41160,27000, n/a, ZDC,43690,40560,5600,12100,40490,40660,170,0.5588235294117647,218,313
5027,SKF6955_91V,378,50460,54230,50459,54231,411.676,33.817,643.067,497.267,26000,2446, L,E135, SDF, OVR, LGA,0,411.407,35.435,642.692,497.764,26000,2945,-1,51310,26000, n/a, ZNY,53390,51960,2446,17900,50460,50960,500,0.222,209,320
5028,SKF6963_902,426,51500,55750,51493,55750,420.351,172.761,644.277,342.433,27000,1200, L,E135, LGA, DEP, RDU,0,420.127,173.111,643.863,342.689,27000,1292,53960,52400,27000, n/a, ZDC,54540,51600,5150,12000,51500,51700,200,0.44,208,296
5029,SKF6963_973,372,45210,48920,45206,48928,408.239,178.867,639.754,345.1,26000,600, L,E135, RDU, ARR, LGA,0,408.039,179.114,639.084,345.328,26000,608,-1,45350,12053, n/a, ZNY,48100,45560,7284,12100,45210,45360,150,0.5333333333333333,210,290
5030,SKF6964_325,378,76220,79990,76215,79999,407.434,179.077,638.969,345.208,26000,700, L,CRJ7, RDU, ARR, LGA,0,407.13,179.304,638.454,345.433,26000,704,-1,77150,26000, n/a, ZNY,79170,76750,7166,12000,76220,76340,120,0.3,252,288
5031,SKF6964_843,345,380,3820,371,3820,415.5,181.924,634.5,349.347,31000,1300, L,CRJ7, LGA, DEP, RDU,0,415.042,182.15,634.325,349.718,31000,1300,1870,1730,31000, n/a, ZDC,2690,410,4875,31000,380,1720,1340,0.24701492537313433,190,521
5032,SKF6964_864,159,84810,86390,84805,86399,290.678,172.346,479.371,342.6,31000,3530, L,CRJ7, LGA, DEP, RDU,0,290.135,172.731,478.674,342.889,31000,3938,-1,86170,31000, n/a, ZDC,86390,84880,3530,17992,84810,85190,380,0.6078947368421053,159,390
5034,SKF6978_585,417,3800,7960,3795,7963,430.7,176.4,635.278,339.025,26000,800, L,CRJ7, RDU, ARR, LGA,0,430.414,176.457,634.38,339.209,26000,803,-1,4470,26000, n/a, ZNY,7080,4070,8325,12000,3800,3890,90,0.2777777777777778,288,313
5035,SKF6993_449,251,41150,43650,41141,43654,310.175,134.834,404.378,195.567,36000,4525, L,E145, MIA, DEP, ORF,0,309.975,135.527,404.002,196.349,36000,4757,-1,42600,34000, n/a, ZDC,42640,41220,4525,17984,41150,41620,470,0.27872340425531916,213,344
5036,SKF6994_126,362,62350,65960,62347,65969,420.049,262.567,642.561,398.449,25000,1200, L,E135, LGA, DEP, ORF,0,419.782,262.86,642.348,398.71,25000,1239,64240,63380,25000, n/a, ZDC,64770,62530,6150,10000,62350,62460,110,0.23636363636363636,207,233
5037,SKF6994_442,270,56890,59580,56883,59583,408.509,305.2,641.251,402.725,26000,100, L,E135, ORF, ARR, LGA,0,408.24,305.466,640.795,403.066,26000,101,58920,57930,26000, n/a, ZNY,58700,57510,5000,12000,56890,57120,230,0.5260869565217391,211,332
